,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0,0.519730322081218,-0.2193012589942363,0.9882890237556229,0.881116188291256,0.40653844519690113,-0.12089362109855889,0.5269476061962103,0.29700629289920816,0.4014502461054065,0.8753720511814878,0.07036232274085263,0.29556392160611245,0.5316295961287756,0.46749406252060405,-0.8004906827086633,-0.11393075730767467,-0.27609913748170806,-0.3264374505295019,-0.04855896742340592,0.720331698563041
1,0.5068566713787901,-0.22582082467558504,0.9912011945279736,0.878668626825329,0.4430717625609747,-0.14587350324711254,0.5145619968394005,0.2562715558419982,0.39954456721564097,0.8946523463578894,0.08603903442820549,0.3484599348202591,0.49040463669699097,0.4766768560761273,-0.7599470424574535,-0.061384815194988035,-0.26675524333590145,-0.3992791278183506,0.031168385314173232,0.7298876345363485
2,0.506754131301774,-0.21691248000997307,0.9858684607958701,0.9078224418225375,0.3923871697771866,-0.11275068509813675,0.4263824606026235,0.2867204058727888,0.3741476640060711,0.890157376610918,0.12099446791336951,0.28160056309382553,0.4720775529640043,0.5462824643140496,-0.797829366672064,-0.078422741459166,-0.29176216440212827,-0.3518567055117789,-0.024991087953561898,0.805671187097191
3,0.506754131301774,-0.21691248000997307,0.9858684607958701,0.9078224418225375,0.3923871697771866,-0.11275068509813675,0.4263824606026235,0.2867204058727888,0.3741476640060711,0.890157376610918,0.12099446791336951,0.28160056309382553,0.4720775529640043,0.5462824643140496,-0.797829366672064,-0.078422741459166,-0.29176216440212827,-0.3518567055117789,-0.024991087953561898,0.805671187097191
4,0.5127795195178152,-0.19089564243499568,0.9793444166025866,0.914432540668195,0.44647030863134746,-0.082662730199523,0.5203196269737563,0.23880238258226597,0.3360437975327626,0.7631331271157713,0.14358788983868573,0.259140789455001,0.40291479947322545,0.5880685492700881,-0.7003584390843497,-0.04756879157939189,-0.3565494123262626,-0.3785798038418309,-0.008783541224264863,0.9632352727993204
5,0.5110110485841707,-0.18994057049344207,0.9834885816269626,0.9203065922002767,0.4477426913768517,-0.08919060941082474,0.35867153683988795,0.3038838619120519,0.3713699129422118,0.8477100780509641,0.09465215814229044,0.269352198787115,0.4374549679417578,0.6028270506300684,-0.8282204873845458,-0.12199096159612886,-0.33630830093567543,-0.40370982615574824,-0.013994464434366274,0.8847096939162016
6,0.4889851449718855,-0.1769257168928178,0.9824843988579879,0.9232906315845726,0.4354480025640105,-0.05599231486523837,0.5369189151694935,0.2957119506879152,0.36080966939168757,0.8812677091312072,0.04223898005380473,0.301745650005822,0.35439463683885797,0.49024357310514594,-0.7468260643113335,0.07118996948911693,-0.34899756633244977,-0.41490904744384755,-0.001131093878475418,0.9162082494776628
7,0.49611794185610086,-0.2058211406144106,0.9976241652790262,0.8905112712346557,0.4237169747910658,-0.044699898739396324,0.5348913316392584,0.29978807430537213,0.4546746138976862,0.7397889006820099,0.04584767184112116,0.2742641403575584,0.3635994887792166,0.5561825102168635,-0.8884310792895158,-0.11301731311038118,-0.3228702340530677,-0.3960834617602161,-0.07551810162427833,0.806557815326878
8,0.5049295633925155,-0.21208502025804044,0.9914583124634002,0.8833138963790828,0.41422021419162264,-0.05695537456778971,0.5868337626645692,0.171275954583626,0.4469347888948481,0.8012737690306054,0.0603470532638605,0.27841514647286614,0.3224639072080022,0.40785522524671214,-0.8320804255967903,-0.10488918232838688,-0.42514849518395137,-0.3735430956499639,-0.052797692193465896,0.8657081152613438
9,0.4944985961087219,-0.22688584589941668,0.9872570676780887,0.8815396932724876,0.4376038076485578,-0.0234267313991632,0.4976926872713031,0.18493467870547844,0.4084386446704038,0.7876217439979518,0.07935350318310436,0.20513790009533944,0.3792686200432532,0.34947545333801594,-0.8211876748341166,-0.155135750071821,-0.4653620147655362,-0.3218922677670646,0.034224411790723996,0.7826299847640141
